,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable
3694,Cold,Jovian,gas,hydrogen-rich,non-habitable,2.85E-09,2.85E-09,2.85E-09,3560.93,11.51,2.34,26.89,17.59,1.9,1.9,1.9,879.9998278829605,883.6011474469306,889.4679288582904,8319.9,-1.04,22.0,721.5746168324818,102.0,0.0,102.0,0.0,0.07,0.03,2620.0,2.9999999999999997e-05,-0.06014540337711069,0.2,17.8,12.7,12.9339,-12.9567,-5.3,0.0001,1.0,0.0,0.004,0.012,26652.06,11.83,247.55,0.0,0.06,0.0,0.0
3695,Hot,Jovian,gas,metals-rich,non-habitable,1735.185,1735.185,1735.186,273.43,16.62,0.06,0.99,4.06,1644.3,1644.3,1644.3,879.9998278829605,883.6011474469306,889.4679288582904,16.3,-31.44,32.0,2.52,0.0382,0.0,0.04,0.0,1.24,1.38,6200.0,2.532052,-0.06014540337711069,4.18801899007337,11.8,614.4452976190478,0.3444,31.99,-34.9,19.372,1.0,0.0,1.1640000000000001,2.716,-2.45,12.62,0.2,0.07,0.06,0.0,0.0
3696,Hot,Jovian,gas,metals-rich,non-habitable,445.805,445.8051,445.8051,269.3,12.08,0.15,1.84,4.72,1170.7,1170.7,1170.7,879.9998278829605,883.6011474469306,889.4679288582904,41.1,-29.27,23.12,2.15,0.0314,0.0,0.03,0.0,0.84,0.83,5150.0,0.438986,-0.08,4.18801899007337,12.0,144.0,20.515,6.4294,-33.4,14.1999,1.0,0.0,0.515,1.238,-2.34,8.28,0.94,0.1,0.08,0.0,0.0
3697,Hot,Jovian,gas,hydrogen-rich,non-habitable,2636.718,2636.718,2636.718,654.96,16.28,0.15,2.47,6.34,1825.6,1825.6,1825.6,879.9998278829605,883.6011474469306,889.4679288582904,99.3,-31.86,31.34,1.85,0.0313,0.0,0.03,0.0,1.24,1.31,6400.0,2.583166,0.0,4.18801899007337,10.6,223.0,18.5756,35.6617,-35.3,22.4474,1.0,0.0,1.162,2.7,-2.47,12.16,1.14,0.07,0.06,0.0,0.0
3698,Hot,Jovian,gas,metals-rich,non-habitable,2031.237,2031.237,2031.237,393.29,15.62,0.1,1.61,5.02,1710.4,1710.4,1710.4,879.9998278829605,883.6011474469306,889.4679288582904,40.6,-31.48,30.03,1.34,0.0231,0.0,0.02,0.0,0.93,1.15,5500.0,1.085766,-0.03,4.18801899007337,12.6,300.0,23.5708,-42.0614,-35.0,26.7498,1.0,0.0,0.795,1.8880000000000001,-2.41,11.45,0.62,0.08,0.06,0.0,0.0
3699,Hot,Jovian,gas,hydrogen-rich,non-habitable,1494.31,1494.31,1494.31,520.47,13.12,0.23,3.03,6.3,1584.0,1584.0,1584.0,879.9998278829605,883.6011474469306,889.4679288582904,120.1,-30.76,25.12,1.63,0.0273,0.0,0.03,0.0,1.0,1.08,5700.0,1.1128790000000002,0.09,3.0,12.3,297.0,23.9567,-41.2772,-34.7,21.2905,1.0,0.0,0.795,1.8780000000000001,-2.42,9.09,1.33,0.1,0.07,0.0,0.0
3700,Hot,Jovian,gas,metals-rich,non-habitable,304.2926,338.52,377.7182,159.92,13.71,0.06,0.85,3.42,1064.1,1092.2,1123.1,879.9998278829605,883.6011474469306,889.4679288582904,9.9,-29.24,26.28,3.36,0.0421,0.05,0.04,1.7,0.89,0.87,5450.0,0.599121,-0.2,11.0,12.4,307.0,23.2106,-22.6739,-33.1,11.0459,1.0,0.0,0.5920000000000001,1.409,-2.35,10.42,0.27,0.09,0.07,0.0,0.0
3701,Hot,Jovian,gas,metals-rich,non-habitable,810.8217,810.8217,810.8218,305.22,14.9,0.09,1.38,4.53,1359.5,1359.5,1359.5,879.9998278829605,883.6011474469306,889.4679288582904,28.2,-30.37,28.6,4.95,0.0617,0.0,0.06,0.0,1.28,1.43,6400.0,3.086709,0.0,2.4,9.5,140.0,20.7361,-39.2253,-34.0,12.3926,1.0,0.0,1.27,2.952,-2.44,10.88,0.64,0.08,0.06,0.0,0.0
3702,Hot,Jovian,gas,hydrogen-rich,non-habitable,72.79871,131.3723,262.3401,713.46,11.63,0.45,5.28,7.83,744.2,846.5,1025.3,879.9998278829605,883.6011474469306,889.4679288582904,324.0,-27.9,22.23,8.16,0.0801,0.31,0.08,274.3,1.03,0.95,5600.0,0.8013600000000001,0.17,4.0,9.9,87.0,23.9933,-35.0314,-32.1,6.6727,1.0,0.0,0.679,1.608,-2.29,7.83,3.39,0.1,0.08,0.0,0.0
3703,Hot,Jovian,gas,hydrogen-rich,non-habitable,170.8699,191.2048,214.6686,1004.69,12.1,0.57,6.87,9.11,921.1,946.8,975.2,879.9998278829605,883.6011474469306,889.4679288582904,570.3,-28.35,23.14,3.09,0.0371,0.06,0.04,2.7,0.71,0.78,4675.0,0.262748,0.03,0.8,12.7,90.0,23.2661,31.4628,-32.5,11.2838,1.0,0.0,0.40700000000000003,0.998,-2.25,8.62,3.99,0.09,0.08,0.0,0.0
